PG,SG,SF,PF,C,G,F,UTIL,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Geomean Ownership,Simulated ROI
36883335,36883363,36883418,36883368,36883359,36883520,36883389,36883376,264.1,245.3686,264.6186,284.1186,294.6186,313.1436,333.8711,283.51,32.63946565,0.436670968
36883429,36883549,36883520,36883418,36883376,36883378,36883398,36883361,268.59,250.3559,270.3559,289.6059,300.1059,319.3559,338.3709,297.76,33.03553636,0.515705932
36883520,36883549,36883537,36883368,36883361,36883363,36883398,36883418,263.83,244.8901,265.3901,285.3901,296.4276,315.1401,334.3976,301.35,35.55441088,0.442011374
36883515,36883510,36883537,36883418,36883376,36883378,36883506,36883520,265.6,248.1693,267.4818,288.2318,298.9818,319.2318,344.2343,301.11,35.39060905,0.454275988
36883515,36883402,36883520,36883418,36883376,36883378,36883412,36883359,267.12,248.8458,269.0958,289.0958,300.0958,318.6083,336.1008,295.38,34.45212679,0.485458653
36883520,36883510,36883349,36883412,36883376,36883378,36883389,36883361,262.97,245.4799,264.2924,283.5424,294.2924,313.3174,333.5599,271.85,31.7438612,0.416552917
36883520,36883429,36883537,36883506,36883357,36883378,36883368,36883376,263.83,247.2979,265.7979,286.2979,296.7979,313.5479,332.5504,275.85,30.38214685,0.431106383
36883520,36883510,36883543,36883506,36883361,36883378,36883418,36883376,266.58,248.7269,267.9769,288.9769,299.9769,318.2269,336.9794,307.17,36.47583156,0.474302108
36883515,36883363,36883520,36883368,36883376,36883378,36883398,36883412,265.77,247.0027,266.6902,286.6277,297.3152,315.3152,334.0677,289.6,33.97917543,0.46822512
36883422,36883549,36883537,36883389,36883376,36883520,36883368,36883357,261.74,243.0266,263.4016,283.5266,294.8141,313.7891,338.0266,279.99,33.21825093,0.398003216
36883520,36883510,36883418,36883537,36883359,36883549,36883368,36883376,264.89,245.2805,267.2805,287.0305,298.568,317.7805,343.2805,298.62,35.25064114,0.452182802
36883520,36883341,36883418,36883368,36883361,36883335,36883398,36883376,264.83,245.9946,265.7446,284.9946,295.7446,313.5196,336.2471,275.22,29.78371817,0.448436866
36883520,36883402,36883537,36883368,36883376,36883378,36883389,36883357,265.91,248.5928,268.3428,288.0928,298.1303,316.0928,340.5953,289.61,34.10658451,0.468018904
36883520,36883549,36883418,36883389,36883398,36883422,36883368,36883376,267.98,249.1186,269.1186,288.8686,300.4061,317.3686,341.6236,309.83,37.11290465,0.507211491
36883520,36883341,36883537,36883398,36883361,36883378,36883418,36883376,266.76,248.8149,269.3149,288.5649,299.8524,318.3274,337.5649,285.79,31.30294374,0.483196549
36883335,36883402,36883418,36883412,36883357,36883520,36883368,36883376,263.66,246.2622,265.0122,284.2622,294.0497,312.7622,333.2647,280.19,31.9397512,0.431290872
36883378,36883353,36883520,36883418,36883376,36883515,36883537,36883359,263.76,244.4863,266.1113,286.9863,297.7363,315.9863,336.2438,275.94,28.7807245,0.424534327
36883520,36883402,36883418,36883398,36883376,36883363,36883368,36883359,265.87,246.7179,265.7179,285.4679,296.2179,314.9804,333.9704,300.25,35.60790829,0.466084714
36883335,36883402,36883506,36883418,36883357,36883520,36883398,36883361,262.72,244.8343,263.5843,282.0843,292.3343,310.5843,328.3343,287.41,33.38137866,0.410852946
36883378,36883549,36883349,36883368,36883361,36883520,36883543,36883376,264.87,246.4231,266.4231,286.2356,297.4231,316.1731,335.1731,294.47,34.88446294,0.443430023
36883378,36883549,36883506,36883368,36883361,36883520,36883537,36883359,265.73,247.6456,267.8956,287.8956,298.6456,319.6456,342.4031,299.61,35.5886133,0.463980351
36883378,36883429,36883520,36883506,36883376,36883515,36883368,36883359,265.36,247.0612,266.8112,285.5612,296.3112,314.8237,335.3162,280.47,31.1814782,0.455900853
36883378,36883402,36883506,36883368,36883357,36883520,36883412,36883398,264.3,247.3042,266.0542,286.3042,296.3042,313.3042,332.8067,297.95,35.20256585,0.444326346
36883515,36883549,36883520,36883398,36883357,36883378,36883412,36883376,264.46,246.2576,266.0076,285.5076,296.5076,314.5076,336.7601,289.91,34.26500007,0.448131307
