DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
35795930,Mike White,QB,BUF,MIA,,9000,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795968,Jalen Virgil,WR,BUF,MIA,,300,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795964,Tanner Conner,TE,MIA,BUF,,300,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795965,KJ Hamler,WR,BUF,MIA,,300,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795963,Hayden Rucci,TE,MIA,BUF,,300,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795958,Tahj Washington,WR,MIA,BUF,O,300,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795970,Zach Davidson,TE,BUF,MIA,,300,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795957,Dee Eskridge,WR,MIA,BUF,,300,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795960,River Cracraft,WR,MIA,BUF,Q,300,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795961,Tyrell Shavers,WR,BUF,MIA,,300,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795969,Anthony Schwartz,WR,MIA,BUF,O,300,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795931,Shane Buechele,QB,BUF,MIA,O,9000,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795933,Skylar Thompson,QB,MIA,BUF,,9000,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795959,Erik Ezukanma,WR,MIA,BUF,,300,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795946,Jaylen Wright,RB,MIA,BUF,O,3000,,0,,0,0,0,0,0,100,26.0798,50.5584,1.5164643696162872,0,0,0,0,0,0,1.3590642129992163,0,0,0,0,0,0,1.3582811276429128,0,0,0,0,0,0,1.52479,0,0,0,0,0,0,2.41836,2.26424,2.26344,2.41836,0,0,0,0,0,0.317571,3.52488,0.0225857,1.13877,4.68144,0.0427714
35795972,Odell Beckham Jr.,WR,MIA,BUF,O,300,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795962,Darrynton Evans,RB,BUF,MIA,Q,300,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795932,Mitchell Trubisky,QB,BUF,MIA,,9000,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
